diagnostic,signal_name,label,units,shots_available,example_shape,example_dtype,total_cohort_shots,coverage_pct,primary_category,secondary_category,project_role,coverage_band,analysis_priority
ANB,ANB_PASSNUMBER,Pass,Pass,10,"(1,)",int32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SS_FULL_POWER,,MW,10,"(37001,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SS_HALF_POWER,,MW,10,"(37001,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SS_SOURCE_GAS_DEUTE,,,10,"(37001,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SS_SUM_POWER,,MW,10,"(37001,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SS_THIRD_POWER,,MW,10,"(37001,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_STATUS,Status,Status,10,"(1,)",int32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SW_FULL_POWER,,MW,10,"(2,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SW_HALF_POWER,,MW,10,"(2,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SW_SOURCE_GAS_UNKNO,,,9,"(2,)",float32,10,90.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,High,1 - High
ANB,ANB_SW_SUM_POWER,,MW,10,"(2,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_SW_THIRD_POWER,,MW,10,"(2,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
ANB,ANB_TOT_SUM_POWER,,MW,10,"(37001,)",float32,10,100.0,Heating & Current Drive,Fast Ions & Energetic Particles,CORE,Complete,1 - High
AMC,AMC_EFPS CURRENT,EFPS Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_ERROR FIELD/02,Error Field/02,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_ERROR FIELD/05,Error Field/05,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2IL COIL CURRENT,P2IL Coil Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2IL FEED CURRENT,P2il Feed Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2IU COIL CURRENT,P2IU Coil Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2IU FEED CURRENT,P2iu Feed Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2L CASE CURRENT,P2L Case Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2L CURRENT,P2L Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2OL COIL CURRENT,P2OL Coil Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2OL FEED CURRENT,P2ol Feed Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2OU COIL CURRENT,P2OU Coil Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2OU FEED CURRENT,P2ou Feed Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2U CASE CURRENT,P2U Case Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P2U CURRENT,P2U Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P3L CASE CURRENT,P3L Case Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P3L COIL CURRENT,P3L Coil Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P3L CURRENT,P3L Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P3L FEED CURRENT,P3l Feed Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P3U CASE CURRENT,P3U Case Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P3U COIL CURRENT,P3U Coil Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P3U CURRENT,P3U Current,kA.turn,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
AMC,AMC_P3U FEED CURRENT,P3u Feed Current,kA,10,"(30000,)",float32,10,100.0,Magnetics & Plasma Current,Plasma Control,CORE,Complete,1 - High
