shot,diagnostic,signal_name,label,units,source_file,dataset_path,time_dataset_path,time_discovery_method,data_time_length_match,observations,finite_observations,nan_count,inf_count,zero_count,negative_count,minimum,maximum,mean,median,std_dev,time_found,time_observations,time_start,time_end,duration_s,median_timestep_s,min_timestep_s,max_timestep_s,duplicate_time_count,missing_pct,finite_pct,time_quality
27929,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27929.nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,20531,-36.65294647216797,624.4273681640625,36.00191326400343,-0.19411569088697433,135.8551741235617,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
27929,ANB,ANB_SS_SUM_POWER,,MW,anb27929.nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,37001,37001,0,0,0,0,0.00013852145639248192,0.0010754455579444766,0.00048101025402218667,0.0004652971401810646,0.00015299590841039328,True,37001,-0.5,1.349999953265069,1.849999953265069,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27929,ANB,ANB_SW_SUM_POWER,,MW,anb27929.nc,anb/sw_sum_power/data,/anb/sw_sum_power/time,HDF5 dimension reference,True,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,True,2,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,100.0,OK
27929,ANB,ANB_TOT_SUM_POWER,,MW,anb27929.nc,anb/tot_sum_power/data,/time,HDF5 dimension reference,True,37001,37001,0,0,0,0,0.00013852145639248192,0.0010754455579444766,0.00048101025402218667,0.0004652971401810646,0.00015299590841039328,True,37001,-0.5,1.349999953265069,1.849999953265069,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27929,ANU,ANU_ERRORS,errors,"error, neutr",anu27929.nc,anu/errors/data,/anu/errors/time,HDF5 dimension reference,True,300,300,0,0,296,0,0.0,1332805504.0,8581238.4,0.0,89397992.96508156,True,300,-0.09749999642372131,1.3974999701604247,1.494999966584146,0.004999999888241291,0.004999999888241291,0.004999999888241291,0,0.0,100.0,OK
27929,ANU,ANU_NEUTRONS,neutrons,neutrons/sec,anu27929.nc,anu/neutrons/data,/anu/neutrons/time,HDF5 dimension reference,True,300,300,0,0,296,0,0.0,14540503040.0,88843279.36,0.0,956612768.1253642,True,300,-0.09749999642372131,1.3974999701604247,1.494999966584146,0.004999999888241291,0.004999999888241291,0.004999999888241291,0,0.0,100.0,OK
27929,ANU,ANU_NEUTRONS_CB,neutrons_cb,neutrons/sec,anu27929.nc,anu/neutrons_cb/data,/time,HDF5 dimension reference,True,122880,122880,0,0,0,122880,-61413101568.0,-60463456256.0,-61005653686.96667,-61012066304.0,159782856.8232824,True,122880,-0.10000000149011612,1.1287899674680375,1.2287899689581536,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27929,ANU,ANU_NEUTRONS_DC,neutrons_dc,neutrons/sec,anu27929.nc,anu/neutrons_dc/data,/anu/neutrons_dc/time,HDF5 dimension reference,True,118881,118881,0,0,0,42215,-4551655555072.0,6363314913280.0,793248425546.0646,791107731456.0,2207768072943.898,True,118881,-0.08000000566244125,1.1087999643059447,1.188799969968386,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27930,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27930 (2).nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,19659,-30.844818115234375,713.8728637695312,42.984162295738244,-0.23217599093914032,154.658913316029,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
27930,ANB,ANB_SS_SUM_POWER,,MW,anb27930 (1).nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,13,-0.03008127026259899,1.7637157440185547,0.19613285513772238,0.000521872250828892,0.5040760430533232,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
