shot,diagnostic,signal_name,dataset_path,label,units,shape,dimensions,observations,dtype,source_file
27929,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27929.nc
27930,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27930 (2).nc
27931,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27931 (1).nc
27932,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27932.nc
27933,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27933.nc
27934,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27934.nc
27935,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27935.nc
27936,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27936.nc
27937,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27937.nc
27938,ABM,ABM_CALIB_SHOT,abm/calib_shot/data,Calibration Shot,,"(1,)",1,1,int16,abm27938.nc
27929,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27929.nc
27930,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27930 (2).nc
27931,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27931 (1).nc
27932,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27932.nc
27933,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27933.nc
27934,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27934.nc
27935,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27935.nc
27936,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27936.nc
27937,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27937.nc
27938,ABM,ABM_CHANNEL_STATUS,abm/channel_status/data,channel_status,,"(1, 32)",2,32,float32,abm27938.nc
27929,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27929.nc
27930,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27930 (2).nc
27931,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27931 (1).nc
27932,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27932.nc
27933,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27933.nc
27934,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27934.nc
27935,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27935.nc
27936,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27936.nc
27937,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27937.nc
27938,ABM,ABM_CHANNEL_TYPE,abm/channel_type/data,channel_type,,"(1, 32)",2,32,float32,abm27938.nc
27929,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27929.nc
27930,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27930 (2).nc
27931,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27931 (1).nc
27932,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27932.nc
27933,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27933.nc
27934,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27934.nc
27935,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27935.nc
27936,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27936.nc
27937,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27937.nc
27938,ABM,ABM_GAIN,abm/gain/data,GAIN,,"(1, 32)",2,32,float32,abm27938.nc
27929,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27929.nc
27930,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27930 (2).nc
27931,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27931 (1).nc
27932,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27932.nc
27933,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27933.nc
27934,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27934.nc
27935,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27935.nc
27936,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27936.nc
27937,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27937.nc
27938,ABM,ABM_I-BOL,abm/i-bol/data,i-bol,W/m^2,"(7500, 32)",2,240000,float32,abm27938.nc
